"Artikel","Fabrikantscode","Merk","Omschrijving","Prijs","Prijs_incl_heffingen","Voorraad","produktindeling","UNSPSC_code","EAN_code","status","Verwijderingsbijdrage","Thuiskopie","Stibat"
"HPI-U85XDE","U85XDE","HP Printing & Computing","HP 5y Premium+ Onsite NB-HP EliteBook 8xx 3y Warranty G11+-Hardware Onsite Break Fix Support Tech Pulse Enabled Proactive Support 5 Year","176.37","176.37","178","HPINZTEPK---","81111818","","00","0.00","0.00","0.00"
"HPI-U85XKE","U85XKE","HP Printing & Computing","HP 4y Premium+ Onsite DMR NB-HP EliteBook 8xx 3y Warranty G11+-Hardware Onsite w//DMR Break Fix Support Tech Pulse Enabled Proactive Support 4 Year","145.44","145.44","178","HPINZTEPK---","81111818","","00","0.00","0.00","0.00"
"HPI-U85XSE","U85XSE","HP Printing & Computing","HP 4y Premium+ Onsite TRV NB-HP EliteBook 8xx 3y Warranty G11+-Hardware Onsite w/Travel Break Fix Support Tech Pulse Enabled Proactive Support 4 Year","139.59","139.59","178","HPINZTEPK---","81111818","","00","0.00","0.00","0.00"
"HPI-U85XVE","U85XVE","HP Printing & Computing","HP 3y Premium+ Onsite DMR TRV NB-HP EliteBook 8xx 3y Warranty G11+-Hardware Onsite w/DMR/Travel Break Fix Support Active Care Enabled Proactive Support 3 Year","104.49","104.49","178","HPINZTEPK---","81111818","","00","0.00","0.00","0.00"
"HPI-U85Y1E","U85Y1E","HP Printing & Computing","HP 3y Premium+ Onsite NB-HP EliteBook 6xx 1y Warranty G11+-Hardware Onsite Break Fix Support Tech Pulse Enabled Proactive Support 3 Year","119.54","119.54","178","HPINZTEPK---","81111818","","00","0.00","0.00","0.00"
"HPI-U85Y2E","U85Y2E","HP Printing & Computing","HP 4y Premium+ Onsite NB-HP EliteBook 6xx 1y Warranty G11+-Hardware Onsite Break Fix Support Tech Pulse Enabled Proactive Support 4 Year","159.65","159.65","178","HPINZTEPK---","81111818","","00","0.00","0.00","0.00"
"HPI-U85Y3E","U85Y3E","HP Printing & Computing","HP 5y Premium+ Onsite NB-HP EliteBook 6xx 1y Warranty G11+-Hardware Onsite Break Fix Support Tech Pulse Enabled Proactive Support 5 Year","198.94","198.94","178","HPINZTEPK---","81111818","","00","0.00","0.00","0.00"
"HPI-U85Y8E","U85Y8E","HP Printing & Computing","HP 4y Premium+ Onsite DMR NB-HP EliteBook 6xx 1y Warranty G11+-Hardware Onsite w//DMR Break Fix Support Tech Pulse Enabled Proactive Support 4 Year","171.35","171.35","178","HPINZTEPK---","81111818","","00","0.00","0.00","0.00"
"HPI-U85Y9E","U85Y9E","HP Printing & Computing","HP 5y Premium+ Onsite DMR NB-HP EliteBook 6xx 1y Warranty G11+-Hardware Onsite w//DMRl Break Fix Support Tech Pulse Enabled Proactive Support 5 Year","214.83","214.83","178","HPINZTEPK---","81111818","","00","0.00","0.00","0.00"
"HPI-U85YFE","U85YFE","HP Printing & Computing","HP 3y Premium+ Onsite TRV NB-HP EliteBook 6xx 1y Warranty G11+-Hardware Onsite w/Travel Break Fix Support Tech Pulse Enabled Proactive Support 3 Year","124.55","124.55","178","HPINZTEPK---","81111818","","00","0.00","0.00","0.00"
"HPI-U85YGE","U85YGE","HP Printing & Computing","HP 4y Premium+ Onsite TRV NB-HP EliteBook 6xx 1y Warranty G11+-Hardware Onsite w/Travel Break Fix Support Tech Pulse Enabled Proactive Support 4 Year","167.18","167.18","178","HPINZTEPK---","81111818","","00","0.00","0.00","0.00"
"HPI-U85YHE","U85YHE","HP Printing & Computing","HP 5y Premium+ Onsite TRV NB-HP EliteBook 6xx 1y Warranty G11+-Hardware Onsite w/Travel Break Fix Support Tech Pulse Enabled Proactive Support 5 Year","208.13","208.13","178","HPINZTEPK---","81111818","","00","0.00","0.00","0.00"
"HPI-U85YRE","U85YRE","HP Printing & Computing","HP 3y Premium+ Onsite NB HP EliteBook 6xx 3y Warranty G11+ Hardware Onsite Break Fix Support Tech Pulse Enabled Proactive Support 3 Year","84.42","84.42","178","HPINZTEPK---","81111818","","00","0.00","0.00","0.00"
"HPI-U85YSE","U85YSE","HP Printing & Computing","HP 4y Premium+ Onsite NB-HP EliteBook 6xx 3y Warranty G11+-Hardware Onsite Break Fix Support Tech Pulse Enabled Proactive Support 4 Year","124.55","124.55","178","HPINZTEPK---","81111818","","00","0.00","0.00","0.00"
"HPI-U85YTE","U85YTE","HP Printing & Computing","HP 5y Premium+ Onsite NB-HP EliteBook 6xx 3y Warranty G11+-Hardware Onsite Break Fix Support Tech Pulse Enabled Proactive Support 5 Year","163.83","163.83","178","HPINZTEPK---","81111818","","00","0.00","0.00","0.00"
"HPI-U85YZE","U85YZE","HP Printing & Computing","HP 4y Premium+ Onsite DMR NB-HP EliteBook 6xx 3y Warranty G11+-Hardware Onsite w//DMR Break Fix Support Tech Pulse Enabled Proactive Support 4 Year","136.25","136.25","178","HPINZTEPK---","81111818","","00","0.00","0.00","0.00"
"HPI-U85Z0E","U85Z0E","HP Printing & Computing","HP 5y Premium+ Onsite DMR NB-HP EliteBook 6xx 3y Warranty G11+-Hardware Onsite w//DMRl Break Fix Support Tech Pulse Enabled Proactive Support 5 Year","179.72","179.72","178","HPINZTEPK---","81111818","","00","0.00","0.00","0.00"
"HPI-U85Z5E","U85Z5E","HP Printing & Computing","HP 4y Premium+ Onsite TRV NB-HP EliteBook 6xx 3y Warranty G11+-Hardware Onsite w/Travel Break Fix Support Tech Pulse Enabled Proactive Support 4 Year","128.72","128.72","178","HPINZTEPK---","81111818","","00","0.00","0.00","0.00"
"HPI-U85Z8E","U85Z8E","HP Printing & Computing","HP 4y Premium+ Onsite DMR TRV NB-HP EliteBook 6xx 3y Warranty G11+-Hardware Onsite w/DMR/Travel Break Fix Support Active Care Enabled Proactive Support 4 Year","141.27","141.27","178","HPINZTEPK---","81111818","","00","0.00","0.00","0.00"
"HPI-U85Z9E","U85Z9E","HP Printing & Computing","HP 5y Premium+ Onsite DMR TRV NB-HP EliteBook 6xx 3y Warranty G11+-Hardware Onsite w/DMR/Travel Break Fix Support Active Care Enabled Proactive Support 5 Year","187.23","187.23","178","HPINZTEPK---","81111818","","00","0.00","0.00","0.00"
"HPI-U85ZFE","U85ZFE","HP Printing & Computing","HP 3y Premium+ Onsite NB-HP ProBook 4xx1y Warranty G11+-Hardware Onsite Break Fix Support Tech Pulse Enabled ProactiveSupport 3 Year","73.56","73.56","178","HPINZTEPK---","81111818","","00","0.00","0.00","0.00"
"HPI-U85ZGE","U85ZGE","HP Printing & Computing","HP 4y Premium+ Onsite NB-HP ProBook 4xx1y Warranty G11+-Hardware Onsite Break Fix Support Tech Pulse Enabled ProactiveSupport 4 Year","97.79","97.79","178","HPINZTEPK---","81111818","","00","0.00","0.00","0.00"
"HPI-U85ZHE","U85ZHE","HP Printing & Computing","HP 5y Premium+ Onsite NB-HP ProBook 4xx1y Warranty G11+-Hardware Onsite Break Fix Support Tech Pulse Enabled ProactiveSupport 5 Year","122.87","122.87","178","HPINZTEPK---","81111818","","00","0.00","0.00","0.00"
"HPI-U86BME","U86BME","HP Printing & Computing","HP 3y Premium+ Onsite MWS HP Zbook MWS G11+ 1 year Warranty Hardware Onsite Break Fix Support Tech Pulse Enabled Proactive Support 3 Year","165.50","165.50","178","HPINZTEPK---","81111818","","00","0.00","0.00","0.00"
"HPI-U86BQE","U86BQE","HP Printing & Computing","HP 5y Premium+ Onsite MWS-HP Zbook MWS G11+ 1 year Warranty-Hardware Onsite Break Fix Support Tech Pulse Enabled Proactive Support 5 Year","275.84","275.84","178","HPINZTEPK---","81111818","","00","0.00","0.00","0.00"
"HPI-U86BYE","U86BYE","HP Printing & Computing","HP 3y Premium+ Onsite TRV MWS-HP Zbook MWS G11+ 1 year Warranty-Hardware Onsitew/Travel Break Fix Support Tech Pulse Enabled Proactive Support 3 Year","173.03","173.03","178","HPINZTEPK---","81111818","","00","0.00","0.00","0.00"
"HPI-U86CNE","U86CNE","HP Printing & Computing","HP 4y Premium+ Onsite MWS-HP Zbook MWS G11+ 3 year Warranty-Hardware Onsite Break Fix Support Tech Pulse Enabled Proactive Support 4 Year","170.52","170.52","178","HPINZTEPK---","81111818","","00","0.00","0.00","0.00"
"HPI-U86CWE","U86CWE","HP Printing & Computing","HP 4y Premium+ Onsite DMR MWS-HP Zbook MWS G11+ 3 year Warranty-Hardware Onsitew//DMR Break Fix Support Tech Pulse Enabled Proactive Support 4 Year","182.22","182.22","178","HPINZTEPK---","81111818","","00","0.00","0.00","0.00"
"HPI-U86CXE","U86CXE","HP Printing & Computing","HP 5y Premium+ Onsite DMR MWS-HP Zbook MWS G11+ 3 year Warranty-Hardware Onsitew//DMRl Break Fix Support Tech Pulse Enabled Proactive Support 5 Year","240.74","240.74","178","HPINZTEPK---","81111818","","00","0.00","0.00","0.00"
"HPI-U86CYE","U86CYE","HP Printing & Computing","HP 3y Premium+ Onsite TRV MWS-HP Zbook MWS G11+ 3 year Warranty-Hardware Onsitew/Travel Break Fix Support Tech Pulse Enabled Proactive Support 3 Year","119.54","119.54","178","HPINZTEPK---","81111818","","00","0.00","0.00","0.00"
